tau_true,tau_pred,category,TP,FP,TN,FN,Precision,Recall,FPR,TPR,cost
0.3,0.3,BULLYING_HARASSMENT,8955,8984,76330,5731,0.49919170522325657,0.6097644014707885,0.10530510818857397,0.6097644014707885,1429.6900000000003
0.3,0.3,HATEFUL_CONDUCT,826,2838,94812,1524,0.22543668122270744,0.35148936170212763,0.029062980030721965,0.35148936170212763,443.0400000000001
0.3,0.3,VIOLENCE_INCITEMENT,518,3723,95537,222,0.12214100448007545,0.7,0.037507555913761835,0.7,527.88
0.3,0.3,META3_ANY,9610,10727,74470,5193,0.47253773909622854,0.6491927312031345,0.12590818925549022,0.6491927312031345,1657.5700000000002
0.3,0.5,BULLYING_HARASSMENT,6892,5064,80250,7794,0.5764469722315155,0.4692904807299469,0.059357198115197976,0.4692904807299469,942.78
0.3,0.5,HATEFUL_CONDUCT,433,1096,96554,1917,0.2831916285153695,0.18425531914893617,0.011223758320532514,0.18425531914893617,210.95000000000002
0.3,0.5,VIOLENCE_INCITEMENT,403,1651,97609,337,0.1962025316455696,0.5445945945945946,0.016633084827725166,0.5445945945945946,241.25
0.3,0.5,META3_ANY,7395,5804,79393,7408,0.5602697174028336,0.49956089981760454,0.0681244644764487,0.49956089981760454,1034.8
0.3,0.7,BULLYING_HARASSMENT,4573,2410,82904,10113,0.6548761277387942,0.31138499250987334,0.02824858757062147,0.31138499250987334,640.79
0.3,0.7,HATEFUL_CONDUCT,228,430,97220,2122,0.3465045592705167,0.09702127659574468,0.0044034818228366615,0.09702127659574468,123.86
0.3,0.7,VIOLENCE_INCITEMENT,252,480,98780,488,0.3442622950819672,0.34054054054054056,0.0048357848075760625,0.34054054054054056,81.84
0.3,0.7,META3_ANY,4842,2609,82588,9961,0.6498456583008992,0.32709585894751064,0.030623144007418102,0.32709585894751064,664.09
0.5,0.3,BULLYING_HARASSMENT,5774,12165,79773,2288,0.3218685545459613,0.7161994542297196,0.1323174313124062,0.7161994542297196,1771.7400000000002
0.5,0.3,HATEFUL_CONDUCT,332,3332,95921,415,0.0906113537117904,0.4444444444444444,0.033570773679385005,0.4444444444444444,478.93
0.5,0.3,VIOLENCE_INCITEMENT,199,4042,95701,58,0.046922895543503894,0.77431906614786,0.0405241470579389,0.77431906614786,567.6200000000001
0.5,0.3,META3_ANY,6089,14248,77631,2032,0.2994050253233024,0.7497845092968847,0.15507352060862656,0.7497845092968847,2055.6800000000003
0.5,0.5,BULLYING_HARASSMENT,4684,7272,84666,3378,0.3917698226831716,0.5809972711485983,0.07909678261437056,0.5809972711485983,1119.42
0.5,0.5,HATEFUL_CONDUCT,187,1342,97911,560,0.1223021582733813,0.250334672021419,0.013521001884074032,0.250334672021419,204.68000000000004
0.5,0.5,VIOLENCE_INCITEMENT,166,1888,97855,91,0.08081791626095423,0.6459143968871596,0.018928646621818073,0.6459143968871596,267.05000000000007
0.5,0.5,META3_ANY,4960,8239,83640,3161,0.37578604439730284,0.6107622214013052,0.08967228637664755,0.6107622214013052,1248.29
0.5,0.7,BULLYING_HARASSMENT,3290,3693,88245,4772,0.4711442073607332,0.4080873232448524,0.04016837433922861,0.4080873232448524,660.1800000000001
0.5,0.7,HATEFUL_CONDUCT,100,558,98695,647,0.1519756838905775,0.13386880856760375,0.005621996312454032,0.13386880856760375,97.53
0.5,0.7,VIOLENCE_INCITEMENT,121,611,99132,136,0.16530054644808742,0.4708171206225681,0.006125743159920997,0.4708171206225681,89.62
0.5,0.7,META3_ANY,3461,3990,87889,4660,0.4645014092068179,0.4261790419899027,0.04342668074315132,0.4261790419899027,698.4
0.7,0.3,BULLYING_HARASSMENT,2553,15386,81414,647,0.14231562517420146,0.7978125,0.15894628099173555,0.7978125,2173.4500000000003
0.7,0.3,HATEFUL_CONDUCT,103,3561,96272,64,0.028111353711790393,0.6167664670658682,0.0356695681788587,0.6167664670658682,500.46000000000004
0.7,0.3,VIOLENCE_INCITEMENT,53,4188,95749,10,0.012497052581938221,0.8412698412698413,0.04190640103265057,0.8412698412698413,586.62
0.7,0.3,META3_ANY,2649,17688,79096,567,0.1302551998819885,0.8236940298507462,0.1827574805753017,0.8236940298507462,2493.3300000000004
0.7,0.5,BULLYING_HARASSMENT,2178,9778,87022,1022,0.18216794914687187,0.680625,0.10101239669421487,0.680625,1399.5800000000002
0.7,0.5,HATEFUL_CONDUCT,59,1470,98363,108,0.03858731196860693,0.3532934131736527,0.014724590065409233,0.3532934131736527,209.04000000000002
0.7,0.5,VIOLENCE_INCITEMENT,47,2007,97930,16,0.022882181110029213,0.746031746031746,0.020082652070804608,0.746031746031746,281.46000000000004
0.7,0.5,META3_ANY,2271,10928,85856,945,0.17205848927949088,0.7061567164179104,0.11291122499586709,0.7061567164179104,1558.27
0.7,0.7,BULLYING_HARASSMENT,1614,5369,91431,1586,0.23113275096663324,0.504375,0.05546487603305785,0.504375,799.2400000000001
0.7,0.7,HATEFUL_CONDUCT,34,624,99209,133,0.05167173252279635,0.20359281437125748,0.006250438231847185,0.20359281437125748,91.35000000000001
0.7,0.7,VIOLENCE_INCITEMENT,38,694,99243,25,0.05191256830601093,0.6031746031746031,0.00694437495622242,0.6031746031746031,97.91000000000001
0.7,0.7,META3_ANY,1689,5762,91022,1527,0.22668098241846732,0.5251865671641791,0.059534633823772526,0.5251865671641791,852.49
