app,policy_area,tau,TP,FP,FN,TN,TP_meta3,FP_meta3,FN_meta3,TN_meta3,volume_scenario,posts_per_day,scenario_s_fp,scenario_s_fn,cost_fp_1,cost_fp_2,cost_fn_1,eur_per_FP,eur_per_FN,direct_fp_cost,direct_fn_cost,indirect_fp_cost,indirect_fn_cost,fp_cost_total,fn_cost_total,ecm_total_cost
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,high,3695700000.0,0.06,0.01,0.1252910382144547,0.0344884761424641,0.0,0.007853100750471,0.0,46485.29322991581,0.0,721.535043852525,0.0,47206.82827376834,0.0,47206.82827376834
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,high,3695700000.0,0.06,0.03,0.1252910382144547,0.0344884761424641,0.0,0.007853100750471,0.0,46485.29322991581,0.0,721.535043852525,0.0,47206.82827376834,0.0,47206.82827376834
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,high,3695700000.0,0.06,0.075,0.1252910382144547,0.0344884761424641,0.0,0.007853100750471,0.0,46485.29322991581,0.0,721.535043852525,0.0,47206.82827376834,0.0,47206.82827376834
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,high,3695700000.0,0.06,0.5,0.1252910382144547,0.0344884761424641,0.0,0.007853100750471,0.0,46485.29322991581,0.0,721.535043852525,0.0,47206.82827376834,0.0,47206.82827376834
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,high,3695700000.0,0.12,0.01,0.1252910382144547,0.0344884761424641,0.0,0.015706201500942,0.0,46485.29322991581,0.0,1443.07008770505,0.0,47928.36331762086,0.0,47928.36331762086
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,high,3695700000.0,0.12,0.03,0.1252910382144547,0.0344884761424641,0.0,0.015706201500942,0.0,46485.29322991581,0.0,1443.07008770505,0.0,47928.36331762086,0.0,47928.36331762086
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,high,3695700000.0,0.12,0.075,0.1252910382144547,0.0344884761424641,0.0,0.015706201500942,0.0,46485.29322991581,0.0,1443.07008770505,0.0,47928.36331762086,0.0,47928.36331762086
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,high,3695700000.0,0.12,0.5,0.1252910382144547,0.0344884761424641,0.0,0.015706201500942,0.0,46485.29322991581,0.0,1443.07008770505,0.0,47928.36331762086,0.0,47928.36331762086
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,high,3695700000.0,0.27,0.01,0.1252910382144547,0.0344884761424641,0.0,0.0353389533771195,0.0,46485.29322991581,0.0,3246.9076973363626,0.0,49732.200927252175,0.0,49732.200927252175
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,high,3695700000.0,0.27,0.03,0.1252910382144547,0.0344884761424641,0.0,0.0353389533771195,0.0,46485.29322991581,0.0,3246.9076973363626,0.0,49732.200927252175,0.0,49732.200927252175
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,high,3695700000.0,0.27,0.075,0.1252910382144547,0.0344884761424641,0.0,0.0353389533771195,0.0,46485.29322991581,0.0,3246.9076973363626,0.0,49732.200927252175,0.0,49732.200927252175
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,high,3695700000.0,0.27,0.5,0.1252910382144547,0.0344884761424641,0.0,0.0353389533771195,0.0,46485.29322991581,0.0,3246.9076973363626,0.0,49732.200927252175,0.0,49732.200927252175
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,low,1260900000.0,0.06,0.01,0.1252910382144547,0.0344884761424641,0.0,0.0230174513787895,0.0,46485.29322991581,0.0,2114.820415231801,0.0,48600.11364514761,0.0,48600.11364514761
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,low,1260900000.0,0.06,0.03,0.1252910382144547,0.0344884761424641,0.0,0.0230174513787895,0.0,46485.29322991581,0.0,2114.820415231801,0.0,48600.11364514761,0.0,48600.11364514761
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,low,1260900000.0,0.06,0.075,0.1252910382144547,0.0344884761424641,0.0,0.0230174513787895,0.0,46485.29322991581,0.0,2114.820415231801,0.0,48600.11364514761,0.0,48600.11364514761
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,low,1260900000.0,0.06,0.5,0.1252910382144547,0.0344884761424641,0.0,0.0230174513787895,0.0,46485.29322991581,0.0,2114.820415231801,0.0,48600.11364514761,0.0,48600.11364514761
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,low,1260900000.0,0.12,0.01,0.1252910382144547,0.0344884761424641,0.0,0.046034902757579,0.0,46485.29322991581,0.0,4229.640830463602,0.0,50714.93406037941,0.0,50714.93406037941
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,low,1260900000.0,0.12,0.03,0.1252910382144547,0.0344884761424641,0.0,0.046034902757579,0.0,46485.29322991581,0.0,4229.640830463602,0.0,50714.93406037941,0.0,50714.93406037941
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,low,1260900000.0,0.12,0.075,0.1252910382144547,0.0344884761424641,0.0,0.046034902757579,0.0,46485.29322991581,0.0,4229.640830463602,0.0,50714.93406037941,0.0,50714.93406037941
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,low,1260900000.0,0.12,0.5,0.1252910382144547,0.0344884761424641,0.0,0.046034902757579,0.0,46485.29322991581,0.0,4229.640830463602,0.0,50714.93406037941,0.0,50714.93406037941
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,low,1260900000.0,0.27,0.01,0.1252910382144547,0.0344884761424641,0.0,0.1035785312045528,0.0,46485.29322991581,0.0,9516.691868543106,0.0,56001.98509845892,0.0,56001.98509845892
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,low,1260900000.0,0.27,0.03,0.1252910382144547,0.0344884761424641,0.0,0.1035785312045528,0.0,46485.29322991581,0.0,9516.691868543106,0.0,56001.98509845892,0.0,56001.98509845892
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,low,1260900000.0,0.27,0.075,0.1252910382144547,0.0344884761424641,0.0,0.1035785312045528,0.0,46485.29322991581,0.0,9516.691868543106,0.0,56001.98509845892,0.0,56001.98509845892
