tau,posts_per_day,volume_scenario,scenario_s_fn,loss_share,eur_per_FN,FN,total_cost_eur,total_cost_period_eur
0.5,1260900000.0,low,0.01,0.0,0.0,3161,0.0,0.0
0.51,1260900000.0,low,0.01,1.89035916824197e-05,0.00021078615212056972,3161,0.6662950268531209,1520637.8328399712
0.52,1260900000.0,low,0.01,7.56143667296788e-05,0.0008315694562909463,3205,2.665180107412483,6082551.331359885
0.53,1260900000.0,low,0.01,0.00017013232514177728,0.0016528818196466614,3628,5.996655241678088,13685740.49555974
0.54,1260900000.0,low,0.01,0.0003024574669187152,0.0029384565682607313,3628,10.660720429649933,24330205.32543954
0.55,1260900000.0,low,0.01,0.00047258979206049243,0.004590073207861124,3629,16.65737567132802,38015945.82099928
0.56,1260900000.0,low,0.01,0.0006805293005671091,0.006595166611688851,3637,23.98662096671235,54742961.98223896
0.57,1260900000.0,low,0.01,0.000926275992438562,0.0086166419413573,3789,32.64845631580281,74511253.80915834
0.58,1260900000.0,low,0.01,0.0012098298676748572,0.011251419978522326,3790,42.64288171859962,97320821.30175789
0.59,1260900000.0,low,0.01,0.0015311909262759919,0.014240078410317325,3790,53.96989717510266,123171664.46003737
0.6,1260900000.0,low,0.01,0.0018903591682419654,0.017543312976648743,3798,66.62950268531192,152063783.28399676
0.61,1260900000.0,low,0.01,0.0022873345935727793,0.021149448648800494,3812,80.62169824922748,183997177.7736362
0.62,1260900000.0,low,0.01,0.0027221172022684316,0.02516959178039067,3812,95.94648386684923,218971847.92895547
0.63,1260900000.0,low,0.01,0.0031947069943289237,0.02944661598801706,3824,112.60385953817723,256987793.7499547
0.64,1260900000.0,low,0.01,0.0037051039697542543,0.034088704062441,3831,130.59382526321147,298045015.23663384
0.65,1260900000.0,low,0.01,0.004253308128544426,0.0347350280449379,4316,149.91638104195198,342143512.388993
0.66,1260900000.0,low,0.01,0.004839319470699437,0.037080766711825815,4600,170.57152687439876,389283285.20703214
0.67,1260900000.0,low,0.01,0.005463137996219285,0.041860709295772104,4600,192.5592627605517,439464333.6907511
0.68,1260900000.0,low,0.01,0.006124763705103975,0.04693034536965455,4600,215.87958870041092,492686657.8401501
0.69,1260900000.0,low,0.01,0.006824196597353496,0.05166076131743473,4656,240.5325046939761,548950257.6552284
0.7,1260900000.0,low,0.01,0.0075614366729678615,0.05719270616764972,4660,266.51801074124774,608255133.135987
0.71,1260900000.0,low,0.01,0.00833648393194707,0.06304143034589696,4661,293.8361068422257,670601284.282426
0.72,1260900000.0,low,0.01,0.009149338374291117,0.06917348627132346,4662,322.48679299690997,735988711.0945448
0.73,1260900000.0,low,0.01,0.01,0.07381572129953931,4775,352.4700692053002,804417413.5723431
0.74,1260900000.0,low,0.01,0.010888468809073727,0.07814822550751312,4911,383.78593546739694,875887391.7158219
0.75,1260900000.0,low,0.01,0.011814744801512289,0.08350398872733102,4987,416.43439178319977,950398645.5249802
0.76,1260900000.0,low,0.01,0.012778827977315695,0.09031791420748124,4987,450.41543815270893,1027951174.9998188
0.77,1260900000.0,low,0.01,0.013780718336483937,0.0968938907991072,5013,485.72907457592436,1108544980.1403372
0.78,1260900000.0,low,0.01,0.014820415879017017,0.10420412947393694,5013,522.3753010528459,1192180060.9465353
0.79,1260900000.0,low,0.01,0.01589792060491494,0.11155765828856734,5023,560.3541175834738,1278856417.4184136
0.8,1260900000.0,low,0.01,0.017013232514177704,0.11931267890326461,5026,599.6655241678079,1368574049.555972
0.81,1260900000.0,low,0.01,0.0181663516068053,0.11332911872669879,5650,640.3095208058481,1461332957.35921
0.82,1260900000.0,low,0.01,0.019357277882797726,0.11575943459409471,5894,682.2861074975942,1557133140.828127
0.83,1260900000.0,low,0.01,0.02058601134215501,0.1230239546020765,5898,725.5952842430472,1655974599.9627254
0.84,1260900000.0,low,0.01,0.021852551984877126,0.13032775821357126,5910,770.2370510422062,1757857334.763003
0.85,1260900000.0,low,0.01,0.023156899810964086,0.13428947151942605,6078,816.2114078950715,1862781345.2289612
0.86,1260900000.0,low,0.01,0.024499054820415884,0.14123623729173096,6114,863.5183548016431,1970746631.360599
0.87,1260900000.0,low,0.01,0.02587901701323252,0.14814973067434153,6157,912.1578917619208,2081753193.1579168
0.88,1260900000.0,low,0.01,0.027296786389413994,0.1519472550183046,6332,962.1300187759048,2195801030.6209145
0.89,1260900000.0,low,0.01,0.028752362948960313,0.1483799027589451,6830,1013.4347358435951,2312890143.7495923
0.9,1260900000.0,low,0.01,0.03024574669187147,0.1472882070965725,7238,1066.0720429649919,2433020532.54395
0.91,1260900000.0,low,0.01,0.03177693761814746,0.15470192543371467,7240,1120.041940140094,2556192197.0039873
0.92,1260900000.0,low,0.01,0.033345935727788295,0.16222835436423788,7245,1175.3444273689036,2682405137.129705
0.93,1260900000.0,low,0.01,0.034952741020793966,0.16962405406187783,7263,1231.9795046514187,2811659352.9211025
0.94,1260900000.0,low,0.01,0.03659735349716447,0.17481327713614853,7379,1289.9471719876399,2943954844.378179
0.95,1260900000.0,low,0.01,0.03827977315689981,0.18171682550539622,7425,1349.247429377567,3079291611.500935
0.96,1260900000.0,low,0.01,0.04,0.1892964925914609,7448,1409.8802768212008,3217669654.2893724
0.97,1260900000.0,low,0.01,0.04175803402646504,0.19575019474910774,7519,1471.845714318541,3359088972.74349
0.98,1260900000.0,low,0.01,0.043553875236294906,0.19363568893410543,7928,1535.1437418695878,3503549566.8632874
