app,name,complaint_review_cost
Facebook,Bullying & Harassment,0.0430475
Facebook,Hateful Conduct,0.02001625000000001
Facebook,Violence and Incitement,0.01239500000000001
Instagram,Bullying & Harassment,0.021105000000000002
Instagram,Hateful Conduct,0.004941249999999977
Instagram,Violence and Incitement,0.004857500000000004
Proactive 50.0%,Bullying & Harassment,0.08375
Proactive 50.0%,Hateful Conduct,0.08375
Proactive 50.0%,Violence and Incitement,0.08375
Proactive 62.5%,Bullying & Harassment,0.0628125
Proactive 62.5%,Hateful Conduct,0.0628125
Proactive 62.5%,Violence and Incitement,0.0628125
