tau,TP,FP,FN,TN,FNR,FPR,exposure_index,rev_index_linear,rev_index_exp,severity_s
0.0,8121,91879,0,0,0.0,1.0,0.0,1.0,1.0,0.0
0.01,7858,44406,263,47473,0.03238517423962566,0.48330957019558335,0.08320151850680164,1.0,1.0,0.0
0.02,7771,39752,350,52127,0.04309814062307597,0.43265599320845893,0.11072445428661816,1.0,1.0,0.0
0.03,7507,32239,614,59640,0.075606452407339,0.35088540362868553,0.19424232837709585,1.0,1.0,0.0
0.04,7485,31524,636,60355,0.07831547838936091,0.3431034295105519,0.201202151217969,1.0,1.0,0.0
0.05,7424,30066,697,61813,0.08582686861223987,0.3272347326374906,0.22049984182220816,1.0,1.0,0.0
0.06,7277,27524,844,64355,0.10392808767393179,0.2995679099685456,0.2670041126225878,1.0,1.0,0.0
0.07,7277,27522,844,64357,0.10392808767393179,0.29954614220877457,0.2670041126225878,1.0,1.0,0.0
0.08,7263,27101,858,64778,0.10565201329885482,0.2949640287769784,0.27143309079405253,1.0,1.0,0.0
0.09,7251,26690,870,65189,0.10712966383450313,0.29049075414403724,0.27522935779816515,1.0,1.0,0.0
0.1,7250,26628,871,65251,0.1072528013791405,0.28981595359113616,0.2755457133818412,1.0,1.0,0.0
0.11,7172,25083,949,66796,0.11685752986085457,0.2730003591680362,0.3002214489085732,1.0,1.0,0.0
0.12,7164,24914,957,66965,0.11784263021795345,0.27116098346738643,0.30275229357798167,1.0,1.0,0.0
0.13,7145,24394,976,67485,0.12018224356606329,0.26550136592692564,0.30876304966782664,1.0,1.0,0.0
0.14,7145,24387,976,67492,0.12018224356606329,0.26542517876772714,0.30876304966782664,1.0,1.0,0.0
0.15,6791,20429,1330,71450,0.16377293436768872,0.22234678218091186,0.420752926289149,1.0,1.0,0.0
0.16,6772,20230,1349,71649,0.16611254771579856,0.22018089008369704,0.426763682378994,1.0,1.0,0.0
0.17,6772,20223,1349,71656,0.16611254771579856,0.22010470292449852,0.426763682378994,1.0,1.0,0.0
0.18,6771,20219,1350,71660,0.16623568526043592,0.22006116740495651,0.42708003796267,1.0,1.0,0.0
0.19,6758,19803,1363,72076,0.16783647334072158,0.21553347337258785,0.43119266055045874,1.0,1.0,0.0
0.2,6404,16535,1717,75344,0.211427164142347,0.1799649539067687,0.5431825371717811,1.0,1.0,0.0
0.21,6307,15699,1814,76180,0.22337150597217093,0.17086603032248937,0.5738690287883581,1.0,1.0,0.0
0.22,6307,15699,1814,76180,0.22337150597217093,0.17086603032248937,0.5738690287883581,1.0,1.0,0.0
0.23,6305,15693,1816,76186,0.22361778106144564,0.17080072704317636,0.5745017399557102,1.0,1.0,0.0
0.24,6305,15692,1816,76187,0.22361778106144564,0.17078984316329085,0.5745017399557102,1.0,1.0,0.0
0.25,6303,15638,1818,76241,0.22386405615072036,0.17020211364947377,0.5751344511230623,1.0,1.0,0.0
0.26,6139,14531,1982,77348,0.24405861347124738,0.15815365861622352,0.6270167668459349,1.0,1.0,0.0
0.27,6139,14528,1982,77351,0.24405861347124738,0.158121006976567,0.6270167668459349,1.0,1.0,0.0
0.28,6139,14528,1982,77351,0.24405861347124738,0.158121006976567,0.6270167668459349,1.0,1.0,0.0
0.29,6089,14248,2032,77631,0.2502154907031154,0.15507352060862656,0.6428345460297374,1.0,1.0,0.0
0.3,6089,14248,2032,77631,0.2502154907031154,0.15507352060862656,0.6428345460297374,1.0,1.0,0.0
0.31,6057,14027,2064,77852,0.2541558921315109,0.15266818315393071,0.6529579247073711,1.0,1.0,0.0
0.32,6057,14027,2064,77852,0.2541558921315109,0.15266818315393071,0.6529579247073711,1.0,1.0,0.0
