app,name,complaint_rate,complaint_review_cost
Facebook,Bullying,0.230254384308542,0.038567609371680786
Facebook,Hateful,0.2135786906479183,0.035774430683526315
Facebook,Violence,0.1758143430997391,0.029448902469206298
Instagram,Bullying,0.165104954569799,0.027655079890441334
Instagram,Hateful,0.1505849279984704,0.02522297543974379
Instagram,Violence,0.1345329905741216,0.02253427592116537
Human,Bullying,0.15,0.025125
Human,Bullying,0.25,0.041875
Human,Hateful,0.15,0.025125
Human,Hateful,0.25,0.041875
Human,Violence,0.15,0.025125
Human,Violence,0.25,0.041875
