tau,tau_true,category,TP,FP,FN,TN,N,removed,kept,Precision,Recall,TPR,TNR,FPR,FNR,sample_fp_share_all,sample_fp_share_removed,sample_fn_share_all,sample_fn_share_kept,severity_index_fp,severity_index_fp_t1,severity_ratio_fp,volume_scenario,posts_per_day,days_in_period,n_period_posts,s_fp,loss_share_fp_raw,fp_total_cost_period_raw,fp_total_cost_period,loss_share_fp,fp_denominator_posts_period,eur_per_fp,fp_total_cost_sample
0.5,0.5,META3_ANY,4960,8239,3161,83640,100000,13199,86801,0.37578604439730284,0.6107622214013052,0.6107622214013052,0.9103277136233524,0.08967228637664755,0.38923777859869474,0.08239,0.6242139556026972,0.03161,0.03641663114480248,0.0,0.39999999999920005,0.0,low,1260900000.0,181,228222900000.0,0.06,0.0,0.0,0.0,0.0,18803284731.0,0.0,0.0
0.49,0.5,META3_ANY,4960,8239,3161,83640,100000,13199,86801,0.37578604439730284,0.6107622214013052,0.6107622214013052,0.9103277136233524,0.08967228637664755,0.38923777859869474,0.08239,0.6242139556026972,0.03161,0.03641663114480248,0.01999999999996002,0.39999999999920005,0.05000000000000004,low,1260900000.0,181,228222900000.0,0.06,0.0030000000000000022,241325224.07170314,241325224.07170314,0.0030000000000000022,18803284731.0,0.012834205699913843,105.74102076159015
0.48,0.5,META3_ANY,4993,8359,3128,83520,100000,13352,86648,0.37395146794487716,0.6148257603743381,0.6148257603743381,0.9090216480370923,0.09097835196290774,0.3851742396256619,0.08359,0.6260485320551228,0.03128,0.03610008309482042,0.03999999999992004,0.39999999999920005,0.10000000000000007,low,1260900000.0,181,228222900000.0,0.06,0.0060000000000000045,482650448.1434063,482650448.1434063,0.0060000000000000045,19077152211.0,0.025299921225407383,211.48204152318033
0.47,0.5,META3_ANY,4993,8360,3128,83519,100000,13353,86647,0.37392346289223394,0.6148257603743381,0.6148257603743381,0.9090107641572067,0.09098923584279324,0.3851742396256619,0.0836,0.626076537107766,0.03128,0.03610049972878461,0.05999999999988006,0.39999999999920005,0.15000000000000013,low,1260900000.0,181,228222900000.0,0.06,0.009000000000000008,723975672.2151095,723975672.2151095,0.009000000000000008,19079434439.999996,0.03794534237856107,317.22306228477055
0.46,0.5,META3_ANY,5027,8488,3094,83391,100000,13515,86485,0.37195708472068073,0.6190124368920084,0.6190124368920084,0.9076176275318626,0.09238237246813744,0.38098756310799164,0.08488,0.6280429152793193,0.03094,0.03577498988263861,0.07999999999983996,0.39999999999920005,0.19999999999999987,low,1260900000.0,181,228222900000.0,0.06,0.011999999999999992,965300896.2868111,965300896.2868111,0.011999999999999992,19371559752.0,0.04983082976512253,422.96408304636003
0.45,0.5,META3_ANY,5138,8911,2983,82968,100000,14049,85951,0.36571998006975587,0.6326807043467553,0.6326807043467553,0.9030137463402954,0.0969862536597046,0.36731929565324467,0.08911,0.6342800199302442,0.02983,0.03470582075833906,0.09999999999979998,0.39999999999920005,0.24999999999999992,low,1260900000.0,181,228222900000.0,0.06,0.014999999999999994,1206626120.3585143,1206626120.3585143,0.014999999999999994,20336942619.0,0.059331736483890715,528.7051038079502
0.44,0.5,META3_ANY,5139,8919,2982,82960,100000,14058,85942,0.36555697823303457,0.6328038418913927,0.6328038418913927,0.9029266753012114,0.09707332469878863,0.36719615810860734,0.08919,0.6344430217669654,0.02982,0.03469781945963557,0.11999999999976001,0.39999999999920005,0.3,low,1260900000.0,181,228222900000.0,0.06,0.018,1447951344.4302175,1447951344.4302175,0.018,20355200451.0,0.07113422183759842,634.4461245695403
0.43,0.5,META3_ANY,5143,8955,2978,82924,100000,14098,85902,0.3648035182295361,0.6332963920699421,0.6332963920699421,0.9025348556253333,0.09746514437466668,0.36670360793005785,0.08955,0.635196481770464,0.02978,0.0346674117017066,0.13999999999972002,0.39999999999920005,0.35,low,1260900000.0,181,228222900000.0,0.06,0.020999999999999998,1689276568.5019205,1689276568.5019205,0.020999999999999998,20437360695.0,0.0826562976360838,740.1871453311304
0.42,0.5,META3_ANY,5187,9333,2934,82546,100000,14520,85480,0.35723140495867767,0.6387144440339859,0.6387144440339859,0.8984207490286137,0.10157925097138627,0.361285555966014,0.09333,0.6427685950413223,0.02934,0.0343238184370613,0.15999999999968004,0.39999999999920005,0.4,low,1260900000.0,181,228222900000.0,0.06,0.024,1930601792.5736237,1930601792.5736237,0.024,21300043257.0,0.09063839773842501,845.9281660927206
0.41,0.5,META3_ANY,5187,9355,2934,82524,100000,14542,85458,0.3566909641039747,0.6387144440339859,0.6387144440339859,0.8981813036711327,0.10181869632886731,0.361285555966014,0.09355,0.6433090358960253,0.02934,0.03433265463736573,0.17999999999964006,0.39999999999920005,0.45000000000000007,low,1260900000.0,181,228222900000.0,0.06,0.027000000000000003,2171927016.6453266,2171927016.6453266,0.027000000000000003,21350252295.0,0.10172840051890013,951.6691868543107
