scenario_id,t_star,ecm_at_t_star,n_tau_points,s_fp,s_fn,volume,platform,setup
Facebook|All Policies (Weighted)|high|0.06|0.01,0.9,722.3175484237887,95,0.06,0.01,high,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|high|0.06|0.03,0.66,974.3062238005972,95,0.06,0.03,high,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|high|0.06|0.075,0.57,1154.6423898061512,95,0.06,0.075,high,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|high|0.06|0.5,0.53,1245.7158418836802,95,0.06,0.5,high,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|high|0.12|0.01,0.9,722.3175484237887,95,0.12,0.01,high,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|high|0.12|0.03,0.66,974.3062238005972,95,0.12,0.03,high,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|high|0.12|0.075,0.57,1154.6423898061512,95,0.12,0.075,high,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|high|0.12|0.5,0.53,1245.7158418836802,95,0.12,0.5,high,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|high|0.27|0.01,0.9,722.3175484237887,95,0.27,0.01,high,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|high|0.27|0.03,0.66,974.3062238005972,95,0.27,0.03,high,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|high|0.27|0.075,0.57,1154.6423898061512,95,0.27,0.075,high,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|high|0.27|0.5,0.53,1245.7158418836802,95,0.27,0.5,high,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|low|0.06|0.01,0.66,970.2908213496212,95,0.06,0.01,low,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|low|0.06|0.03,0.53,1161.408778707127,95,0.06,0.03,low,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|low|0.06|0.075,0.53,1188.393727294679,95,0.06,0.075,low,Facebook,All Policies (Weighted)
Facebook|All Policies (Weighted)|low|0.06|0.5,0.5,1326.580306284723,95,0.06,0.5,low,Facebook,All Policies (Weighted)
